id,from_node,to_node,element,mechanism,direction,condition,confidence,note
PWR-E037,3V3_MAIN,P4.1_I2C_POWER,board copper,direct branch,bidirectional,always,high,I2C connector P4 power
PWR-E038,3V3_MAIN,U8.5_VCC,board copper,direct branch,bidirectional,always,high,Servo transmit buffer
PWR-E039,3V3_MAIN,U9.5_VCC,board copper,direct branch,bidirectional,always,high,Servo receive buffer
PWR-E040,1V8,U1.8_VDDIO,board copper,direct branch,bidirectional,always,high,ICM-20948 VDDIO.
PWR-E041,1V8,U1.13_VDD,board copper,direct branch,bidirectional,always,high,ICM-20948 VDD.
PWR-E042,1V8,U4.1_VCCA,board copper,direct branch,bidirectional,always,high,LSF0204 low-voltage reference.
PWR-E043,1V8,U4.8_OE_via_R9,R9 10k,pull-up,bidirectional,always,high,Enables the level translator.
IO-E001,J1.1/J3.1_SWITCHED_LOW,GND,Q4 channel,N-MOS low-side switch,bidirectional_when_on,IO4 high enough after R54; R56 pulls gate low when idle,high,J1 and J3 are parallel outputs: each load is connected between DC_IN on pin 2 and this switched node on pin 1.
IO-E002,IO4,Q4_GATE,R54 10 ohm,gate resistor,bidirectional,always,high,R56 10k pulls Q4 gate to GND.
IO-E003,J2.1/J4.1_SWITCHED_LOW,GND,Q5 channel,N-MOS low-side switch,bidirectional_when_on,IO5 high enough after R55; R57 pulls gate low when idle,high,J2 and J4 are parallel outputs.
IO-E004,IO5,Q5_GATE,R55 10 ohm,gate resistor,bidirectional,always,high,R57 10k pulls Q5 gate to GND.
SIG-E001,ESP_IO32,IIC_SDA,direct label/copper,signal path,bidirectional,always,high,ESP32 GPIO32 is the board I2C SDA net.
SIG-E002,IIC_SDA,P3.3,direct copper,signal path,bidirectional,always,high,External I2C connector P3 SDA.
SIG-E003,IIC_SDA,P4.3,direct copper,signal path,bidirectional,always,high,External I2C connector P4 SDA.
SIG-E004,IIC_SDA,U6.3_SDA,direct copper,signal path,bidirectional,always,high,INA219 SDA.
SIG-E005,IIC_SDA,U4.11_B3,direct copper,signal path,bidirectional,always,high,3.3-V side of IMU SDA level-shifter channel.
SIG-E006,U4.4_A3,U1.24_SDA_SDI,LSF0204 channel 3,signal path,bidirectional,always,high,Level-shifted 1.8-V SDA path.
SIG-E007,ESP_IO33,IIC_SCL,direct label/copper,signal path,bidirectional,always,high,ESP32 GPIO33 is the board I2C SCL net.
SIG-E008,IIC_SCL,P3.4,direct copper,signal path,bidirectional,always,high,External I2C connector P3 SCL.
SIG-E009,IIC_SCL,P4.4,direct copper,signal path,bidirectional,always,high,External I2C connector P4 SCL.
SIG-E010,IIC_SCL,U6.4_SCL,direct copper,signal path,bidirectional,always,high,INA219 SCL.
SIG-E011,IIC_SCL,U4.10_B4,direct copper,signal path,bidirectional,always,high,3.3-V side of IMU SCL level-shifter channel.
SIG-E012,U4.5_A4,U1.23_SCL_SCLK,LSF0204 channel 4,signal path,bidirectional,always,high,Level-shifted 1.8-V SCL path.
SIG-E020,TYPE_C1_DPLUS,U7.7_UDPLUS,USB differential copper,signal path,bidirectional,always,high,Type-C1 DP1/DP2 are tied and connect to U7 UD+.
SIG-E021,TYPE_C1_DMINUS,U7.8_UDMINUS,USB differential copper,signal path,bidirectional,always,high,Type-C1 DN1/DN2 are tied and connect to U7 UD-.
SIG-E022,U7.4_TXD,ESP_U0RX,R33 option 22R/1k,signal path,forward,always,high,USB-UART transmit into ESP32 receive.
SIG-E023,ESP_U0TX,U7.5_RXD,R34 option 22R/1k,signal path,forward,always,high,ESP32 transmit into USB-UART receive.
SIG-E024,HOST_P_TX,ESP_U0RX,header copper/label,signal path,forward,always,high,"Host TX shares the ESP U0RX node with U7 TXD, creating possible driver contention if both are active."
SIG-E025,ESP_U0TX,HOST_P_RX,header copper/label,signal path,forward,always,high,ESP U0TX is exposed as host P_RX.
SIG-E026,U7.12_DTR,AUTO_PROGRAM_DTR,direct copper,signal path,forward,always,high,DTR enters cross-coupled S8050 network.
SIG-E027,U7.13_RTS,AUTO_PROGRAM_RTS,direct copper,signal path,forward,always,high,RTS enters cross-coupled S8050 network.
SIG-E028,AUTO_PROGRAM,ESP_EN_AND_IO0,VT1/VT2 cross-coupled network,signal path,conditional,DTR/RTS state,high,Generates reset/boot combinations shown in the schematic truth table.
SIG-E030,TYPE_C2_DPLUS,U3.7_UDPLUS,USB differential copper,signal path,bidirectional,always,high,Type-C2 DP1/DP2 tied to D_P.
SIG-E031,TYPE_C2_DMINUS,U3.8_UDMINUS,USB differential copper,signal path,bidirectional,always,high,Type-C2 DN1/DN2 tied to D_N.
SIG-E032,H1.1_CP_RX,U3.5_RXD,R4 1k,signal path,forward,always,high,One-way LIDAR serial receive path into USB-UART.
SIG-E033,U3.4_TXD,NC,explicit no-connect,signal path,none,always,high,U3 TXD is marked no-connect; there is no board-to-LIDAR serial transmit path in this drawing.
SIG-E040,ESP_IO19/U1TXD,U8.2_A,direct copper,signal path,forward,always,high,Transmit data input.
SIG-E041,ESP_IO19/U1TXD,TXEN,Q3 MMBT3906 + R47/R49,signal path,conditional,"U1TXD low turns Q3 on, raising TXEN; U1TXD high releases TXEN low",high,TX-enable generation.
SIG-E042,U8.2_A,DATA,U8 SN74LVC1G126,signal path,forward,TXEN high,high,Active-high output-enable transmit path.
SIG-E043,DATA,U9.2_A,direct copper,signal path,forward,always,high,Receive sense input.
SIG-E044,U9.2_A,ESP_IO18/U1RXD,U9 SN74LVC1G125,signal path,forward,TXEN low,high,Active-low output-enable receive path.
SIG-E045,3V3_MAIN,DATA,R45 10k,signal path,pull-up,always,high,DATA defaults high; the transmit scheme behaves as release-high / actively-drive-low.
SIG-E046,DATA,H7.1,direct copper,signal path,bidirectional,always,high,Bus-servo data connector H7.
SIG-E047,DATA,H8.1,direct copper,signal path,bidirectional,always,high,Bus-servo data connector H8.
MOTOR-TB1-S0,S0,TB1.23_PWMA,direct copper,logic control,forward,always,high,S0 drives both motor-driver ICs in parallel.
MOTOR-TB1-S1,S1,TB1.22_AIN2,direct copper,logic control,forward,always,high,S1 drives both motor-driver ICs in parallel.
MOTOR-TB1-S2,S2,TB1.21_AIN1,direct copper,logic control,forward,always,high,S2 drives both motor-driver ICs in parallel.
MOTOR-TB1-S3,S3,TB1.17_BIN1,direct copper,logic control,forward,always,high,S3 drives both motor-driver ICs in parallel.
MOTOR-TB1-S4,S4,TB1.16_BIN2,direct copper,logic control,forward,always,high,S4 drives both motor-driver ICs in parallel.
MOTOR-TB1-S5,S5,TB1.15_PWMB,direct copper,logic control,forward,always,high,S5 drives both motor-driver ICs in parallel.
MOTOR-TB2-S0,S0,TB2.23_PWMA,direct copper,logic control,forward,always,high,S0 drives both motor-driver ICs in parallel.
MOTOR-TB2-S1,S1,TB2.22_AIN2,direct copper,logic control,forward,always,high,S1 drives both motor-driver ICs in parallel.
MOTOR-TB2-S2,S2,TB2.21_AIN1,direct copper,logic control,forward,always,high,S2 drives both motor-driver ICs in parallel.
MOTOR-TB2-S3,S3,TB2.17_BIN1,direct copper,logic control,forward,always,high,S3 drives both motor-driver ICs in parallel.
MOTOR-TB2-S4,S4,TB2.16_BIN2,direct copper,logic control,forward,always,high,S4 drives both motor-driver ICs in parallel.
MOTOR-TB2-S5,S5,TB2.15_PWMB,direct copper,logic control,forward,always,high,S5 drives both motor-driver ICs in parallel.
MOTOR-E001,TB2.AO1,H5.6_MA1,direct copper,motor output,bidirectional,H-bridge state,high,TB2 AO1 pins 1/2.
MOTOR-E002,TB2.AO2,H5.1_MA2,direct copper,motor output,bidirectional,H-bridge state,high,TB2 AO2 pins 5/6.
MOTOR-E003,TB2.BO2,H3.6_MB1,direct copper,motor output,bidirectional,H-bridge state,high,TB2 BO2 pins 7/8.
MOTOR-E004,TB2.BO1,H3.1_MB2,direct copper,motor output,bidirectional,H-bridge state,high,"TB2 BO1 pins 11/12; source symbol has a duplicated BO2 text at one pin, interpreted by standard TB6612 pinout."
MOTOR-E005,TB1.AO1,H6.6_MA1_PRIME,direct copper,motor output,bidirectional,H-bridge state,high,TB1 AO1 pins 1/2.
MOTOR-E006,TB1.AO2,H6.1_MA2_PRIME,direct copper,motor output,bidirectional,H-bridge state,high,TB1 AO2 pins 5/6.
MOTOR-E007,TB1.BO2,H4.6_MB1_PRIME,direct copper,motor output,bidirectional,H-bridge state,high,TB1 BO2 pins 7/8.
MOTOR-E008,TB1.BO1,H4.1_MB2_PRIME,direct copper,motor output,bidirectional,H-bridge state,high,TB1 BO1 pins 11/12.
MOTOR-E009,H5.4_A_C1,ESP_IO34,R39 10 ohm,encoder input,forward,always,Motor-A encoder/feedback channel 1.,
MOTOR-E010,H5.3_A_C2,ESP_IO35,R40 10 ohm,encoder input,forward,always,Motor-A encoder/feedback channel 2.,
MOTOR-E011,H3.4_B_C1,ESP_IO27,R36 10 ohm,encoder input,forward,always,Motor-B encoder/feedback channel 1.,
MOTOR-E012,H3.3_B_C2,ESP_IO16,R37 10 ohm,encoder input,forward,always,Motor-B encoder/feedback channel 2.,
SD-SD_CS,ESP_IO15,SD_CS,net label,signal route,forward,always,high,Destination is not drawn as a connector/component in the supplied sheet; only the named route is shown.
SD-SPI_MO,ESP_IO13,SPI_MO,net label,signal route,bidirectional,always,high,Destination is not drawn as a connector/component in the supplied sheet; only the named route is shown.
SD-SPI_CK,ESP_IO14,SPI_CK,net label,signal route,bidirectional,always,high,Destination is not drawn as a connector/component in the supplied sheet; only the named route is shown.
SD-SPI_SO,ESP_IO12,SPI_SO,net label,signal route,bidirectional,always,high,Destination is not drawn as a connector/component in the supplied sheet; only the named route is shown.
