Connector,Type / value,Pin,Net,Functional block
J3,2-pin connector + shell pin 0,1,IO4_SWITCHED,IO Control
J3,2-pin connector + shell pin 0,2,DC_IN,IO Control
J4,2-pin connector + shell pin 0,0,GND,IO Control
J4,2-pin connector + shell pin 0,1,IO5_SWITCHED,IO Control
J4,2-pin connector + shell pin 0,2,DC_IN,IO Control
P1,40-pin header,1,5V,Host Headers
P1,40-pin header,2,HEADER_PASS_2,Host Headers
P1,40-pin header,3,5V,Host Headers
P1,40-pin header,4,IIC_SDA,Host Headers
P1,40-pin header,5,GND,Host Headers
P1,40-pin header,6,IIC_SCL,Host Headers
P1,40-pin header,7,U0RX,Host Headers
P1,40-pin header,8,HEADER_PASS_8,Host Headers
P1,40-pin header,9,U0TX,Host Headers
P1,40-pin header,10,GND,Host Headers
P1,40-pin header,11,HEADER_PASS_11,Host Headers
P1,40-pin header,12,HEADER_PASS_12,Host Headers
P1,40-pin header,13,HEADER_PASS_13,Host Headers
P1,40-pin header,14,HEADER_PASS_14,Host Headers
P1,40-pin header,15,HEADER_PASS_15,Host Headers
P1,40-pin header,16,HEADER_PASS_16,Host Headers
P1,40-pin header,17,HEADER_PASS_17,Host Headers
P1,40-pin header,18,HEADER_PASS_18,Host Headers
P1,40-pin header,19,GND,Host Headers
P1,40-pin header,20,HEADER_PASS_20,Host Headers
P1,40-pin header,21,HEADER_PASS_21,Host Headers
P1,40-pin header,22,HEADER_PASS_22,Host Headers
P1,40-pin header,23,HEADER_PASS_23,Host Headers
P1,40-pin header,24,HEADER_PASS_24,Host Headers
P1,40-pin header,25,HEADER_PASS_25,Host Headers
P1,40-pin header,26,GND,Host Headers
P1,40-pin header,27,HEADER_PASS_27,Host Headers
P1,40-pin header,28,HEADER_PASS_28,Host Headers
P1,40-pin header,29,GND,Host Headers
P1,40-pin header,30,HEADER_PASS_30,Host Headers
P1,40-pin header,31,HEADER_PASS_31,Host Headers
P1,40-pin header,32,HEADER_PASS_32,Host Headers
P1,40-pin header,33,GND,Host Headers
P1,40-pin header,34,HEADER_PASS_34,Host Headers
P1,40-pin header,35,HEADER_PASS_35,Host Headers
P1,40-pin header,36,HEADER_PASS_36,Host Headers
P1,40-pin header,37,HEADER_PASS_37,Host Headers
P1,40-pin header,38,HEADER_PASS_38,Host Headers
P1,40-pin header,39,GND,Host Headers
P1,40-pin header,40,GND,Host Headers
P2,40-pin header,1,5V,Host Headers
P2,40-pin header,2,HEADER_PASS_2,Host Headers
P2,40-pin header,3,5V,Host Headers
P2,40-pin header,4,IIC_SDA,Host Headers
P2,40-pin header,5,GND,Host Headers
P2,40-pin header,6,IIC_SCL,Host Headers
P2,40-pin header,7,U0RX,Host Headers
P2,40-pin header,8,HEADER_PASS_8,Host Headers
P2,40-pin header,9,U0TX,Host Headers
P2,40-pin header,10,GND,Host Headers
P2,40-pin header,11,HEADER_PASS_11,Host Headers
P2,40-pin header,12,HEADER_PASS_12,Host Headers
P2,40-pin header,13,HEADER_PASS_13,Host Headers
P2,40-pin header,14,HEADER_PASS_14,Host Headers
P2,40-pin header,15,HEADER_PASS_15,Host Headers
P2,40-pin header,16,HEADER_PASS_16,Host Headers
P2,40-pin header,17,HEADER_PASS_17,Host Headers
P2,40-pin header,18,HEADER_PASS_18,Host Headers
P2,40-pin header,19,GND,Host Headers
P2,40-pin header,20,HEADER_PASS_20,Host Headers
P2,40-pin header,21,HEADER_PASS_21,Host Headers
P2,40-pin header,22,HEADER_PASS_22,Host Headers
P2,40-pin header,23,HEADER_PASS_23,Host Headers
P2,40-pin header,24,HEADER_PASS_24,Host Headers
P2,40-pin header,25,HEADER_PASS_25,Host Headers
P2,40-pin header,26,GND,Host Headers
P2,40-pin header,27,HEADER_PASS_27,Host Headers
P2,40-pin header,28,HEADER_PASS_28,Host Headers
P2,40-pin header,29,GND,Host Headers
P2,40-pin header,30,HEADER_PASS_30,Host Headers
P2,40-pin header,31,HEADER_PASS_31,Host Headers
P2,40-pin header,32,HEADER_PASS_32,Host Headers
P2,40-pin header,33,GND,Host Headers
P2,40-pin header,34,HEADER_PASS_34,Host Headers
P2,40-pin header,35,HEADER_PASS_35,Host Headers
P2,40-pin header,36,HEADER_PASS_36,Host Headers
P2,40-pin header,37,HEADER_PASS_37,Host Headers
P2,40-pin header,38,HEADER_PASS_38,Host Headers
P2,40-pin header,39,GND,Host Headers
P2,40-pin header,40,GND,Host Headers
H3,PH2.0 6P vertical,0,GND,Motor Drivers
H3,PH2.0 6P vertical,1,MB2,Motor Drivers
H3,PH2.0 6P vertical,2,GND,Motor Drivers
H3,PH2.0 6P vertical,3,B_C2_CONN,Motor Drivers
H3,PH2.0 6P vertical,4,B_C1_CONN,Motor Drivers
H3,PH2.0 6P vertical,5,3V3,Motor Drivers
H3,PH2.0 6P vertical,6,MB1,Motor Drivers
H4,PH2.0 6P vertical,0,GND,Motor Drivers
H4,PH2.0 6P vertical,1,MB2_PRIME,Motor Drivers
H4,PH2.0 6P vertical,2,NC,Motor Drivers
H4,PH2.0 6P vertical,3,NC,Motor Drivers
H4,PH2.0 6P vertical,4,NC,Motor Drivers
H4,PH2.0 6P vertical,5,NC,Motor Drivers
H4,PH2.0 6P vertical,6,MB1_PRIME,Motor Drivers
H5,PH2.0 6P vertical,0,GND,Motor Drivers
H5,PH2.0 6P vertical,1,MA2,Motor Drivers
H5,PH2.0 6P vertical,2,GND,Motor Drivers
H5,PH2.0 6P vertical,3,A_C2_CONN,Motor Drivers
H5,PH2.0 6P vertical,4,A_C1_CONN,Motor Drivers
H5,PH2.0 6P vertical,5,3V3,Motor Drivers
H5,PH2.0 6P vertical,6,MA1,Motor Drivers
H6,PH2.0 6P vertical,0,GND,Motor Drivers
H6,PH2.0 6P vertical,1,MA2_PRIME,Motor Drivers
H6,PH2.0 6P vertical,2,NC,Motor Drivers
H6,PH2.0 6P vertical,3,NC,Motor Drivers
H6,PH2.0 6P vertical,4,NC,Motor Drivers
H6,PH2.0 6P vertical,5,NC,Motor Drivers
H6,PH2.0 6P vertical,6,MA1_PRIME,Motor Drivers
