Reference,Pin,Net,Value / Part,Functional block
C23,2,GND,22uF,PWR-IN / 5V-5A
C24,1,5V_VOUT,22uF,PWR-IN / 5V-5A
C24,2,GND,22uF,PWR-IN / 5V-5A
C25,1,5V_VOUT,22uF,PWR-IN / 5V-5A
C25,2,GND,22uF,PWR-IN / 5V-5A
C26,1,5V_VOUT,100nF,PWR-IN / 5V-5A
C26,2,GND,100nF,PWR-IN / 5V-5A
C27,1,5V,10uF,PWR-IN / 5V-5A
C27,2,GND,10uF,PWR-IN / 5V-5A
C28,1,5V_VOUT,100nF,PWR-IN / 5V-5A
C28,2,GND,100nF,PWR-IN / 5V-5A
C29,1,VCC_1,1uF,PWR-IN / 5V-5A
C29,2,AGND,1uF,PWR-IN / 5V-5A
C30,1,3V3,100nF (104),PWR-IN / 5V-5A
C30,2,GND,100nF (104),PWR-IN / 5V-5A
R10,1,BST,3.3R,PWR-IN / 5V-5A
R10,2,BOOT_RC,3.3R,PWR-IN / 5V-5A
R12,1,SW,NC/499k,PWR-IN / 5V-5A
R12,2,RC_COMP,NC/499k,PWR-IN / 5V-5A
R13,1,VIN,1.5M,PWR-IN / 5V-5A
R13,2,EN,1.5M,PWR-IN / 5V-5A
R14,1,5V_VOUT,75k 1%,PWR-IN / 5V-5A
R14,2,FB,75k 1%,PWR-IN / 5V-5A
R15,1,M1_GATE,2k,PWR-IN / 5V-5A
R15,2,GND,2k,PWR-IN / 5V-5A
R16,1,RC_COMP,NC/499R,PWR-IN / 5V-5A
R16,2,FB,NC/499R,PWR-IN / 5V-5A
R17,1,FB,10k 1%,PWR-IN / 5V-5A
R17,2,GND,10k 1%,PWR-IN / 5V-5A
R18,1,Q1_BASE,100k,PWR-IN / 5V-5A
R18,2,GND,100k,PWR-IN / 5V-5A
R19,1,Q2_BASE,470k,PWR-IN / 5V-5A
R19,2,GND,470k,PWR-IN / 5V-5A
R20,1,EN,NS,PWR-IN / 5V-5A
R20,2,AGND,NS,PWR-IN / 5V-5A
R21,1,DC_IN,"0.01R 1%, 2512, 2W alloy",PWR-IN / 5V-5A
R21,2,VIN,"0.01R 1%, 2512, 2W alloy",PWR-IN / 5V-5A
R22,1,PG,100k,PWR-IN / 5V-5A
R22,2,VCC_1,100k,PWR-IN / 5V-5A
R25,1,VCC_1,NS,PWR-IN / 5V-5A
R25,2,MODE,NS,PWR-IN / 5V-5A
R26,1,MODE,NS,PWR-IN / 5V-5A
R26,2,AGND,NS,PWR-IN / 5V-5A
L2,1,SW,"1.5uH, 7x7x5",PWR-IN / 5V-5A
L2,2,5V_VOUT,"1.5uH, 7x7x5",PWR-IN / 5V-5A
H2,0,GND,5.5x2.1 DC005 barrel jack,PWR-IN / 5V-5A
H2,1,VDD_DC_JACK,5.5x2.1 DC005 barrel jack,PWR-IN / 5V-5A
H2,2,GND,5.5x2.1 DC005 barrel jack,PWR-IN / 5V-5A
M1,1,DC_IN,AO4407 P-MOS,PWR-IN / 5V-5A
M1,2,DC_IN,AO4407 P-MOS,PWR-IN / 5V-5A
M1,3,DC_IN,AO4407 P-MOS,PWR-IN / 5V-5A
M1,4,M1_GATE,AO4407 P-MOS,PWR-IN / 5V-5A
M1,5,VDD_DC_JACK,AO4407 P-MOS,PWR-IN / 5V-5A
M1,6,VDD_DC_JACK,AO4407 P-MOS,PWR-IN / 5V-5A
M1,7,VDD_DC_JACK,AO4407 P-MOS,PWR-IN / 5V-5A
M1,8,VDD_DC_JACK,AO4407 P-MOS,PWR-IN / 5V-5A
M2,1,5V,AO4407 P-MOS,PWR-IN / 5V-5A
M2,2,5V,AO4407 P-MOS,PWR-IN / 5V-5A
M2,3,5V,AO4407 P-MOS,PWR-IN / 5V-5A
M2,4,M2_GATE,AO4407 P-MOS,PWR-IN / 5V-5A
M2,5,5V_VOUT,AO4407 P-MOS,PWR-IN / 5V-5A
M2,6,5V_VOUT,AO4407 P-MOS,PWR-IN / 5V-5A
M2,7,5V_VOUT,AO4407 P-MOS,PWR-IN / 5V-5A
M2,8,5V_VOUT,AO4407 P-MOS,PWR-IN / 5V-5A
Q1,B,Q1_BASE,MMBT3906,PWR-IN / 5V-5A
Q1,C,M2_GATE,MMBT3906,PWR-IN / 5V-5A
Q1,E,5V_VOUT,MMBT3906,PWR-IN / 5V-5A
Q2,B,Q2_BASE,MMBT3906,PWR-IN / 5V-5A
Q2,C,M2_GATE,MMBT3906,PWR-IN / 5V-5A
Q2,E,5V,MMBT3906,PWR-IN / 5V-5A
U5,1,VIN,MP8759GD,PWR-IN / 5V-5A
U5,2,GND,MP8759GD,PWR-IN / 5V-5A
U5,3,PG,MP8759GD,PWR-IN / 5V-5A
U5,4,NC,MP8759GD,PWR-IN / 5V-5A
U5,5,5V_VOUT,MP8759GD,PWR-IN / 5V-5A
U5,6,MODE,MP8759GD,PWR-IN / 5V-5A
U5,7,SW,MP8759GD,PWR-IN / 5V-5A
U5,8,BST,MP8759GD,PWR-IN / 5V-5A
U5,9,VCC_1,MP8759GD,PWR-IN / 5V-5A
U5,10,AGND,MP8759GD,PWR-IN / 5V-5A
U5,11,FB,MP8759GD,PWR-IN / 5V-5A
U5,12,EN,MP8759GD,PWR-IN / 5V-5A
U6,1,GND,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
U6,2,GND,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
U6,3,IIC_SDA,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
U6,4,IIC_SCL,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
U6,5,3V3,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
U6,6,GND,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
U6,7,VIN,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
U6,8,DC_IN,"INA219BIDR (SOP-8), address 0x42",PWR-IN / 5V-5A
C8,1,3V3,1uF,LIDAR USB-UART
C8,2,GND,1uF,LIDAR USB-UART
C9,1,3V3,1uF,LIDAR USB-UART
C9,2,GND,1uF,LIDAR USB-UART
C10,1,5V,100nF (104),LIDAR USB-UART
C10,2,GND,100nF (104),LIDAR USB-UART
C13,1,3V3,100nF (104),LIDAR USB-UART
C13,2,GND,100nF (104),LIDAR USB-UART
R4,1,CP_RX,1k,LIDAR USB-UART
R4,2,LIDAR_RXD,1k,LIDAR USB-UART
U3,0,GND,CH343P,LIDAR USB-UART
U3,1,3V3,CH343P,LIDAR USB-UART
U3,2,GND,CH343P,LIDAR USB-UART
U3,3,3V3,CH343P,LIDAR USB-UART
U3,4,NC,CH343P,LIDAR USB-UART
U3,5,LIDAR_RXD,CH343P,LIDAR USB-UART
U3,6,3V3,CH343P,LIDAR USB-UART
U3,7,D_P,CH343P,LIDAR USB-UART
U3,8,D_N,CH343P,LIDAR USB-UART
U3,9,5V,CH343P,LIDAR USB-UART
U3,10,NC,CH343P,LIDAR USB-UART
U3,11,NC,CH343P,LIDAR USB-UART
U3,12,DTR_1,CH343P,LIDAR USB-UART
U3,13,NC,CH343P,LIDAR USB-UART
U3,14,NC,CH343P,LIDAR USB-UART
U3,15,NC,CH343P,LIDAR USB-UART
U3,16,NC,CH343P,LIDAR USB-UART
H1,0,GND,PH2.0 4P vertical,LIDAR USB-UART
H1,1,CP_RX,PH2.0 4P vertical,LIDAR USB-UART
H1,2,NC,PH2.0 4P vertical,LIDAR USB-UART
H1,3,GND,PH2.0 4P vertical,LIDAR USB-UART
H1,4,5V,PH2.0 4P vertical,LIDAR USB-UART
C31,1,VDDUSB,10uF,USB Type-C
C31,2,GND,10uF,USB Type-C
C32,1,VDDUSB1,10uF,USB Type-C
C32,2,GND,10uF,USB Type-C
R23,1,GND,5.1k,USB Type-C
R23,2,IP1,5.1k,USB Type-C
R24,1,GND,5.1k,USB Type-C
R24,2,CC2,5.1k,USB Type-C
R27,1,GND,5.1k,USB Type-C
R27,2,IP0,5.1k,USB Type-C
R28,1,GND,5.1k,USB Type-C
R28,2,CC1,5.1k,USB Type-C
Type_C1,A1/B12,GND,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,A12/B1,GND,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,A4/B9,VDDUSB,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,A5,IP0,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,A6,USBD_P,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,A7,USBD_N,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,A8,NC,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,A9/B4,VDDUSB,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,B5,IP1,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,B6,USBD_P,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,B7,USBD_N,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,B8,NC,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C1,MTB,GND,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A1/B12,GND,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A12/B1,GND,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A4/B9,VDDUSB1,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A5,CC1,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A6,D_P,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A7,D_N,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A8,NC,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,A9/B4,VDDUSB1,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,B5,CC2,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,B6,D_P,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,B7,D_N,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,B8,NC,"USB Type-C receptacle, 16P SMT",USB Type-C
Type_C2,MTB,GND,"USB Type-C receptacle, 16P SMT",USB Type-C
PWR1,1,5V,10uF,Main 3.3V Power
PWR1,2,GND,10uF,Main 3.3V Power
PWR2,1,5V,100nF (104),Main 3.3V Power
PWR2,2,GND,100nF (104),Main 3.3V Power
PWR3,1,3V3,10uF,Main 3.3V Power
PWR3,2,GND,10uF,Main 3.3V Power
PWR4,1,3V3,100nF (104),Main 3.3V Power
PWR4,2,GND,100nF (104),Main 3.3V Power
D1,A,VDDUSB1,MBR230LSFT1G (marking L3N),Main 3.3V Power
D1,K,5V,MBR230LSFT1G (marking L3N),Main 3.3V Power
D2,A,VDDUSB,MBR230LSFT1G (marking L3N),Main 3.3V Power
D2,K,5V,MBR230LSFT1G (marking L3N),Main 3.3V Power
AMS-1,1,GND,AMS1117-3.3,Main 3.3V Power
AMS-1,2,3V3,AMS1117-3.3,Main 3.3V Power
AMS-1,3,5V,AMS1117-3.3,Main 3.3V Power
LED1,A,LED_A,"Red LED, 0402",Main 3.3V Power
LED1,K,GND,"Red LED, 0402",Main 3.3V Power
R11,1,LED_A,2.2k,Main 3.3V Power
R11,2,3V3,2.2k,Main 3.3V Power
TVS1,1,3V3,LTVS16H5.0ET5G,Main 3.3V Power
TVS1,2,GND,LTVS16H5.0ET5G,Main 3.3V Power
C33,1,#EN,100nF (104),ESP32 / USB-UART
C33,2,GND,100nF (104),ESP32 / USB-UART
C34,1,IO0,NC/100nF (NC/104),ESP32 / USB-UART
C34,2,GND,NC/100nF (NC/104),ESP32 / USB-UART
C35,1,3V3,1uF,ESP32 / USB-UART
C35,2,GND,1uF,ESP32 / USB-UART
C36,1,3V3,1uF,ESP32 / USB-UART
C36,2,GND,1uF,ESP32 / USB-UART
C37,1,5V,100nF (104),ESP32 / USB-UART
C37,2,GND,100nF (104),ESP32 / USB-UART
C38,1,3V3,100nF (104),ESP32 / USB-UART
C38,2,GND,100nF (104),ESP32 / USB-UART
R29,1,3V3,10k,ESP32 / USB-UART
R29,2,#EN,10k,ESP32 / USB-UART
R30,1,3V3,10k,ESP32 / USB-UART
R30,2,IO0,10k,ESP32 / USB-UART
R31,1,3V3,NC/10k,ESP32 / USB-UART
R31,2,U0TX,NC/10k,ESP32 / USB-UART
R32,1,3V3,10k,ESP32 / USB-UART
R32,2,U0RX,10k,ESP32 / USB-UART
R33,1,U0RX,22R/1k option,ESP32 / USB-UART
R33,2,TXD,22R/1k option,ESP32 / USB-UART
R34,1,U0TX,22R/1k option,ESP32 / USB-UART
R34,2,RXD,22R/1k option,ESP32 / USB-UART
R35,1,AUTO_VT1_BASE,12k,ESP32 / USB-UART
R35,2,DTR,12k,ESP32 / USB-UART
R38,1,AUTO_VT2_BASE,12k,ESP32 / USB-UART
R38,2,RTS,12k,ESP32 / USB-UART
U7,0,GND,CH343P,ESP32 / USB-UART
U7,1,3V3,CH343P,ESP32 / USB-UART
U7,2,GND,CH343P,ESP32 / USB-UART
U7,3,3V3,CH343P,ESP32 / USB-UART
U7,4,TXD,CH343P,ESP32 / USB-UART
U7,5,RXD,CH343P,ESP32 / USB-UART
U7,6,3V3,CH343P,ESP32 / USB-UART
U7,7,USBD_P,CH343P,ESP32 / USB-UART
U7,8,USBD_N,CH343P,ESP32 / USB-UART
U7,9,5V,CH343P,ESP32 / USB-UART
U7,10,NC,CH343P,ESP32 / USB-UART
U7,11,NC,CH343P,ESP32 / USB-UART
U7,12,DTR,CH343P,ESP32 / USB-UART
U7,13,RTS,CH343P,ESP32 / USB-UART
U7,14,NC,CH343P,ESP32 / USB-UART
U7,15,NC,CH343P,ESP32 / USB-UART
U7,16,NC,CH343P,ESP32 / USB-UART
M3,1,GND,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,2,3V3,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,3,#EN,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,4,SVP,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,5,SVN,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,6,A_C1,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,7,A_C2,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,8,IIC_SDA,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,9,IIC_SCL,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,10,S0,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,11,S5,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,12,B_C1,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,13,SPI_CK,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,14,SPI_SO,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,15,GND,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,16,SPI_MO,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,17,SD2,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,18,SD3,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,19,CMD,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,20,CLK,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,21,SD0,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,22,SD1,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,23,SD_CS,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,24,IO2,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,25,IO0,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,26,IO4,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,27,B_C2,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,28,S1,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,29,IO5,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,30,U1RXD,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,31,U1TXD,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,32,NC,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,33,S2,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,34,U0RX,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,35,U0TX,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,36,S3,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,37,S4,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,38,GND,ESP32-WROOM-32UE,ESP32 / USB-UART
M3,39,GND,ESP32-WROOM-32UE,ESP32 / USB-UART
VT1,B,AUTO_VT1_BASE,S8050,ESP32 / USB-UART
VT1,C,#EN,S8050,ESP32 / USB-UART
VT1,E,RTS,S8050,ESP32 / USB-UART
VT2,B,AUTO_VT2_BASE,S8050,ESP32 / USB-UART
VT2,C,IO0,S8050,ESP32 / USB-UART
VT2,E,DTR,S8050,ESP32 / USB-UART
S1,1,GND,"2-pin SMD pushbutton, 3x4x2",ESP32 / USB-UART
S1,2,IO0,"2-pin SMD pushbutton, 3x4x2",ESP32 / USB-UART
S2,1,GND,"2-pin SMD pushbutton, 3x4x2",ESP32 / USB-UART
S2,2,#EN,"2-pin SMD pushbutton, 3x4x2",ESP32 / USB-UART
C40,1,3V3,330uF/6.3V,Bus Servo
C40,2,GND,330uF/6.3V,Bus Servo
C41,1,3V3,100nF (104),Bus Servo
C41,2,GND,100nF (104),Bus Servo
C42,1,3V3,100nF (104),Bus Servo
C42,2,GND,100nF (104),Bus Servo
C43,1,3V3,100nF (104),Bus Servo
C43,2,GND,100nF (104),Bus Servo
C44,1,3V3,1uF,Bus Servo
C44,2,GND,1uF,Bus Servo
R45,1,3V3,10k,Bus Servo
R45,2,DATA,10k,Bus Servo
R46,1,3V3,10k,Bus Servo
R46,2,U1TXD,10k,Bus Servo
R47,1,Q3_BASE,10k,Bus Servo
R47,2,U1TXD,10k,Bus Servo
R48,1,3V3,10k,Bus Servo
R48,2,U1RXD,10k,Bus Servo
R49,1,TXEN,20k,Bus Servo
R49,2,GND,20k,Bus Servo
Q3,B,Q3_BASE,MMBT3906,Bus Servo
Q3,C,TXEN,MMBT3906,Bus Servo
Q3,E,3V3,MMBT3906,Bus Servo
U8,1,TXEN,SN74LVC1G126DBV,Bus Servo
U8,2,U1TXD,SN74LVC1G126DBV,Bus Servo
U8,3,GND,SN74LVC1G126DBV,Bus Servo
U8,4,DATA,SN74LVC1G126DBV,Bus Servo
U8,5,3V3,SN74LVC1G126DBV,Bus Servo
U9,1,TXEN,SN74LVC1G125DBV,Bus Servo
U9,2,DATA,SN74LVC1G125DBV,Bus Servo
U9,3,GND,SN74LVC1G125DBV,Bus Servo
U9,4,U1RXD,SN74LVC1G125DBV,Bus Servo
U9,5,3V3,SN74LVC1G125DBV,Bus Servo
D3,A,GND,B5819WS,Bus Servo
D3,K,3V3,B5819WS,Bus Servo
D4,A,GND,B5819WS,Bus Servo
D4,K,DC_IN,B5819WS,Bus Servo
D8,A,GND,"NC/LM3Z3V6T1G, 3.6V",Bus Servo
D8,K,3V3,"NC/LM3Z3V6T1G, 3.6V",Bus Servo
H7,1,DATA,3-pin 2.5mm 5264-3A,Bus Servo
H7,2,DC_IN,3-pin 2.5mm 5264-3A,Bus Servo
H7,3,GND,3-pin 2.5mm 5264-3A,Bus Servo
H8,1,DATA,3-pin 2.5mm 5264-3A,Bus Servo
H8,2,DC_IN,3-pin 2.5mm 5264-3A,Bus Servo
H8,3,GND,3-pin 2.5mm 5264-3A,Bus Servo
R54,1,IO4,10R,IO Control
R54,2,IO4_GATE,10R,IO Control
R55,1,IO5,10R,IO Control
R55,2,IO5_GATE,10R,IO Control
R56,1,IO4_GATE,10k,IO Control
R56,2,GND,10k,IO Control
R57,1,IO5_GATE,10k,IO Control
R57,2,GND,10k,IO Control
Q4,D,IO4_SWITCHED,"N-channel MOSFET, part not shown",IO Control
Q4,G,IO4_GATE,"N-channel MOSFET, part not shown",IO Control
Q4,S,GND,"N-channel MOSFET, part not shown",IO Control
Q5,D,IO5_SWITCHED,"N-channel MOSFET, part not shown",IO Control
Q5,G,IO5_GATE,"N-channel MOSFET, part not shown",IO Control
Q5,S,GND,"N-channel MOSFET, part not shown",IO Control
J1,0,GND,2-pin connector + shell pin 0,IO Control
J1,1,IO4_SWITCHED,2-pin connector + shell pin 0,IO Control
J1,2,DC_IN,2-pin connector + shell pin 0,IO Control
J2,0,GND,2-pin connector + shell pin 0,IO Control
J2,1,IO5_SWITCHED,2-pin connector + shell pin 0,IO Control
J2,2,DC_IN,2-pin connector + shell pin 0,IO Control
J3,0,GND,2-pin connector + shell pin 0,IO Control
J3,1,IO4_SWITCHED,2-pin connector + shell pin 0,IO Control
J3,2,DC_IN,2-pin connector + shell pin 0,IO Control
J4,0,GND,2-pin connector + shell pin 0,IO Control
J4,1,IO5_SWITCHED,2-pin connector + shell pin 0,IO Control
J4,2,DC_IN,2-pin connector + shell pin 0,IO Control
P1,1,5V,40-pin header,Host Headers
P1,2,HEADER_PASS_2,40-pin header,Host Headers
P1,3,5V,40-pin header,Host Headers
P1,4,IIC_SDA,40-pin header,Host Headers
P1,5,GND,40-pin header,Host Headers
P1,6,IIC_SCL,40-pin header,Host Headers
P1,7,U0RX,40-pin header,Host Headers
P1,8,HEADER_PASS_8,40-pin header,Host Headers
P1,9,U0TX,40-pin header,Host Headers
P1,10,GND,40-pin header,Host Headers
P1,11,HEADER_PASS_11,40-pin header,Host Headers
P1,12,HEADER_PASS_12,40-pin header,Host Headers
P1,13,HEADER_PASS_13,40-pin header,Host Headers
P1,14,HEADER_PASS_14,40-pin header,Host Headers
P1,15,HEADER_PASS_15,40-pin header,Host Headers
P1,16,HEADER_PASS_16,40-pin header,Host Headers
P1,17,HEADER_PASS_17,40-pin header,Host Headers
P1,18,HEADER_PASS_18,40-pin header,Host Headers
P1,19,GND,40-pin header,Host Headers
P1,20,HEADER_PASS_20,40-pin header,Host Headers
P1,21,HEADER_PASS_21,40-pin header,Host Headers
P1,22,HEADER_PASS_22,40-pin header,Host Headers
P1,23,HEADER_PASS_23,40-pin header,Host Headers
P1,24,HEADER_PASS_24,40-pin header,Host Headers
