Reference,Value / Part,Kind,Functional block,Source note
R11,2.2k,resistor,Main 3.3V Power,
TVS1,LTVS16H5.0ET5G,TVS diode,Main 3.3V Power,
C33,100nF (104),capacitor,ESP32 / USB-UART,
C34,NC/100nF (NC/104),capacitor,ESP32 / USB-UART,
C35,1uF,capacitor,ESP32 / USB-UART,
C36,1uF,capacitor,ESP32 / USB-UART,
C37,100nF (104),capacitor,ESP32 / USB-UART,
C38,100nF (104),capacitor,ESP32 / USB-UART,
R29,10k,resistor,ESP32 / USB-UART,
R30,10k,resistor,ESP32 / USB-UART,
R31,NC/10k,resistor,ESP32 / USB-UART,
R32,10k,resistor,ESP32 / USB-UART,
R33,22R/1k option,resistor,ESP32 / USB-UART,
R34,22R/1k option,resistor,ESP32 / USB-UART,
R35,12k,resistor,ESP32 / USB-UART,
R38,12k,resistor,ESP32 / USB-UART,
U7,CH343P,USB-UART bridge,ESP32 / USB-UART,
M3,ESP32-WROOM-32UE,MCU module,ESP32 / USB-UART,
VT1,S8050,NPN transistor,ESP32 / USB-UART,
VT2,S8050,NPN transistor,ESP32 / USB-UART,
S1,"2-pin SMD pushbutton, 3x4x2",switch,ESP32 / USB-UART,
S2,"2-pin SMD pushbutton, 3x4x2",switch,ESP32 / USB-UART,
C40,330uF/6.3V,capacitor,Bus Servo,
C41,100nF (104),capacitor,Bus Servo,
C42,100nF (104),capacitor,Bus Servo,
C43,100nF (104),capacitor,Bus Servo,
C44,1uF,capacitor,Bus Servo,
R45,10k,resistor,Bus Servo,
R46,10k,resistor,Bus Servo,
R47,10k,resistor,Bus Servo,
R48,10k,resistor,Bus Servo,
R49,20k,resistor,Bus Servo,
Q3,MMBT3906,PNP transistor,Bus Servo,
U8,SN74LVC1G126DBV,tri-state buffer,Bus Servo,
U9,SN74LVC1G125DBV,tri-state buffer,Bus Servo,
D3,B5819WS,Schottky diode,Bus Servo,
D4,B5819WS,Schottky diode,Bus Servo,
D8,"NC/LM3Z3V6T1G, 3.6V",zener/TVS,Bus Servo,
H7,3-pin 2.5mm 5264-3A,connector,Bus Servo,
H8,3-pin 2.5mm 5264-3A,connector,Bus Servo,
R54,10R,resistor,IO Control,
R55,10R,resistor,IO Control,
R56,10k,resistor,IO Control,
R57,10k,resistor,IO Control,
Q4,"N-channel MOSFET, part not shown",MOSFET,IO Control,
Q5,"N-channel MOSFET, part not shown",MOSFET,IO Control,
J1,2-pin connector + shell pin 0,connector,IO Control,
J2,2-pin connector + shell pin 0,connector,IO Control,
J3,2-pin connector + shell pin 0,connector,IO Control,
J4,2-pin connector + shell pin 0,connector,IO Control,
P1,40-pin header,connector,Host Headers,
P2,40-pin header,connector,Host Headers,
C45,10uF/50V,capacitor,Motor Drivers,
C47,10uF/50V,capacitor,Motor Drivers,
C48,100nF (104),capacitor,Motor Drivers,
C49,100nF (104),capacitor,Motor Drivers,
C50,100nF (104),capacitor,Motor Drivers,
C51,100nF (104),capacitor,Motor Drivers,
TB1,TB6612FNG,dual H-bridge,Motor Drivers,
TB2,TB6612FNG,dual H-bridge,Motor Drivers,
H3,PH2.0 6P vertical,connector,Motor Drivers,
H4,PH2.0 6P vertical,connector,Motor Drivers,
H5,PH2.0 6P vertical,connector,Motor Drivers,
H6,PH2.0 6P vertical,connector,Motor Drivers,
R36,10R,resistor,Motor Drivers,
R37,10R,resistor,Motor Drivers,
R39,10R,resistor,Motor Drivers,
R40,10R,resistor,Motor Drivers,
logo1,Waveshare logo / title graphic,graphic,Document,
