Canonical net,Aliases shown in PDF,Description,Members
VDDUSB1,,Type_C2 VBUS,Type_C2.A4/B9; Type_C2.A9/B4; C32.1; D1.A
IIC_SDA,ICM_SDA; IO32,,U4.11; P3.3; P4.3; M3.8; P1.4; P2.4; U6.3
IIC_SCL,ICM_SCL; IO33,,U4.10; P3.4; P4.4; M3.9; P1.6; P2.6; U6.4
A_C1,IO34,,M3.6; R39.2
A_C2,IO35,,M3.7; R40.2
B_C1,IO27,,M3.12; R36.2
B_C2,IO16,,M3.27; R37.2
S0,IO25,,M3.10; TB1.23; TB2.23
S1,IO17,,M3.28; TB1.22; TB2.22
S2,IO21,,M3.33; TB1.21; TB2.21
S3,IO22,,M3.36; TB1.17; TB2.17
S4,IO23,,M3.37; TB1.16; TB2.16
S5,IO26,,M3.11; TB1.15; TB2.15
SPI_CK,IO14,,M3.13
SPI_SO,IO12,,M3.14
SPI_MO,IO13,,M3.16
SD_CS,IO15,,M3.23
U1RXD,IO18,,M3.30; R48.2; U9.4
U1TXD,IO19,,M3.31; R46.2; R47.2; U8.2
U0RX,P_TX,,R33.1; R32.2; M3.34; P1.7; P2.7
U0TX,P_RX,,R34.1; R31.2; M3.35; P1.9; P2.9
IMU_BP,,,U2.4; C7.1
I2C_SCL_ICM,,,U1.23; U4.5; R6.2
I2C_SDA_ICM,,,U1.24; U4.4; R5.2
ICM_INT,,,U1.12
ICM_FSYNC,,,U1.11; R2.1
ICM_AD0,,,U1.9; R3.1
ICM_REGOUT,,,U1.10; C11.1
EXT_ICM_FSYNC,,,U4.13; R7.2
EXT_ICM_INT,,,U4.12; R8.2
IMU_LEVEL_OE,,,U4.8; R9.1
M1_GATE,,,M1.4; R15.1
EN,,,R13.2; R20.1; U5.12
MODE,,,U5.6; R25.2; R26.1
VCC_1,,,U5.9; C29.1; R22.2; R25.1
PG,,,U5.3; R22.1
BST,,,U5.8; R10.1
BOOT_RC,,,R10.2; C15.1
SW,,,U5.7; C15.2; L2.1; R12.1
RC_COMP,,,R12.2; C16.1; R16.1
FB,,,R14.2; R16.2; R17.1; U5.11
Q1_BASE,,,Q1.B; R18.1
M2_GATE,,,M2.4; Q1.C; Q2.C
Q2_BASE,,,Q2.B; R19.1
CP_RX,,,H1.1; R4.1
LIDAR_RXD,,,R4.2; U3.5
DTR_1,,,U3.12
D_P,,,U3.7; Type_C2.A6; Type_C2.B6
D_N,,,U3.8; Type_C2.A7; Type_C2.B7
IP0,,,Type_C1.A5; R27.2
IP1,,,Type_C1.B5; R23.2
USBD_P,,,Type_C1.A6; Type_C1.B6; U7.7
USBD_N,,,Type_C1.A7; Type_C1.B7; U7.8
CC1,,,Type_C2.A5; R28.2
CC2,,,Type_C2.B5; R24.2
LED_A,,,LED1.A; R11.1
TXD,,,U7.4; R33.2
RXD,,,U7.5; R34.2
DTR,,,U7.12; R35.2; VT2.E
RTS,,,U7.13; R38.2; VT1.E
#EN,,,M3.3; R29.2; C33.1; S2.2; VT1.C
SVP,,,M3.4
SVN,,,M3.5
SD2,,,M3.17
SD3,,,M3.18
CMD,,,M3.19
CLK,,,M3.20
SD0,,,M3.21
SD1,,,M3.22
IO2,,,M3.24
IO0,,,M3.25; R30.2; C34.1; S1.2; VT2.C
IO4,,,M3.26; R54.1
IO5,,,M3.29; R55.1
AUTO_VT1_BASE,,,R35.1; VT1.B
AUTO_VT2_BASE,,,R38.1; VT2.B
Q3_BASE,,,R47.1; Q3.B
TXEN,,,Q3.C; R49.1; U8.1; U9.1
DATA,,,U8.4; U9.2; R45.2; H7.1; H8.1
IO4_GATE,,,R54.2; R56.1; Q4.G
IO4_SWITCHED,,,Q4.D; J1.1; J3.1
IO5_GATE,,,R55.2; R57.1; Q5.G
IO5_SWITCHED,,,Q5.D; J2.1; J4.1
HEADER_PASS_2,,,P1.2; P2.2
HEADER_PASS_8,,,P1.8; P2.8
HEADER_PASS_11,,,P1.11; P2.11
HEADER_PASS_12,,,P1.12; P2.12
HEADER_PASS_13,,,P1.13; P2.13
HEADER_PASS_14,,,P1.14; P2.14
HEADER_PASS_15,,,P1.15; P2.15
HEADER_PASS_16,,,P1.16; P2.16
HEADER_PASS_17,,,P1.17; P2.17
HEADER_PASS_18,,,P1.18; P2.18
HEADER_PASS_20,,,P1.20; P2.20
HEADER_PASS_21,,,P1.21; P2.21
HEADER_PASS_22,,,P1.22; P2.22
HEADER_PASS_23,,,P1.23; P2.23
HEADER_PASS_24,,,P1.24; P2.24
HEADER_PASS_25,,,P1.25; P2.25
HEADER_PASS_27,,,P1.27; P2.27
HEADER_PASS_28,,,P1.28; P2.28
HEADER_PASS_30,,,P1.30; P2.30
HEADER_PASS_31,,,P1.31; P2.31
HEADER_PASS_32,,,P1.32; P2.32
HEADER_PASS_34,,,P1.34; P2.34
HEADER_PASS_35,,,P1.35; P2.35
HEADER_PASS_36,,,P1.36; P2.36
HEADER_PASS_37,,,P1.37; P2.37
HEADER_PASS_38,,,P1.38; P2.38
MA1,,,TB2.1; TB2.2; H5.6
MA2,,,TB2.5; TB2.6; H5.1
MB1,,,TB2.7; TB2.8; H3.6
MB2,,,TB2.11; TB2.12; H3.1
A_C1_CONN,,,H5.4; R39.1
A_C2_CONN,,,H5.3; R40.1
B_C1_CONN,,,H3.4; R36.1
B_C2_CONN,,,H3.3; R37.1
MA1_PRIME,,,TB1.1; TB1.2; H6.6
MA2_PRIME,,,TB1.5; TB1.6; H6.1
MB1_PRIME,,,TB1.7; TB1.8; H4.6
MB2_PRIME,,,TB1.11; TB1.12; H4.1
